ic,band,window,n_time,omega,k,label,period_steps,share
IC37,midlat_S,hann,3024,-18,0,annual x6,168.0,2.420313472887442e-05
IC37,midlat_S,hann,3024,-15,0,annual x5,201.6,3.3696173304262865e-05
IC37,midlat_S,hann,3024,-12,0,annual x4,252.0,0.00016112618875747828
IC37,midlat_S,hann,3024,-9,0,annual x3,336.0,8.410787970207118e-05
IC37,midlat_S,hann,3024,-6,0,annual x2,504.0,0.000295854843895349
IC37,midlat_S,hann,3024,-3,0,annual,1008.0,0.0002680491329692487
IC37,midlat_S,hann,3024,3,0,annual,1008.0,0.0002680491329692489
IC37,midlat_S,hann,3024,6,0,annual x2,504.0,0.00029585484389534896
IC37,midlat_S,hann,3024,9,0,annual x3,336.0,8.410787970207121e-05
IC37,midlat_S,hann,3024,12,0,annual x4,252.0,0.0001611261887574783
IC37,midlat_S,hann,3024,15,0,annual x5,201.6,3.3696173304262865e-05
IC37,midlat_S,hann,3024,18,0,annual x6,168.0,2.4203134728874428e-05
IC37,midlat_S,hann,3024,126,-1,diurnal,24.0,0.0007874410804677029
IC37,midlat_S,hann,3024,252,-2,diurnal x2,12.0,2.385817120485272e-10
IC37,midlat_S,hann,3024,378,-3,diurnal x3,8.0,3.4232264632833464e-11
IC37,midlat_S,hann,3024,504,-4,diurnal x4,6.0,2.5670077670807533e-11
IC37,polar_N,boxcar,3024,-504,4,diurnal x4,6.0,1.9545832058535914e-10
IC37,polar_N,boxcar,3024,-378,3,diurnal x3,8.0,3.0746339533060335e-09
IC37,polar_N,boxcar,3024,-252,2,diurnal x2,12.0,4.350272587144333e-08
IC37,polar_N,boxcar,3024,-126,1,diurnal,24.0,4.8864453616353645e-05
IC37,polar_N,boxcar,3024,-18,0,annual x6,168.0,0.0003882006780572682
IC37,polar_N,boxcar,3024,-15,0,annual x5,201.6,0.0019395791912658104
IC37,polar_N,boxcar,3024,-12,0,annual x4,252.0,0.006777512516943137
IC37,polar_N,boxcar,3024,-9,0,annual x3,336.0,0.0028398969819114516
IC37,polar_N,boxcar,3024,-6,0,annual x2,504.0,0.01645147185852665
IC37,polar_N,boxcar,3024,-3,0,annual,1008.0,0.01373876988100343
IC37,polar_N,boxcar,3024,3,0,annual,1008.0,0.01373876988100343
IC37,polar_N,boxcar,3024,6,0,annual x2,504.0,0.01645147185852665
IC37,polar_N,boxcar,3024,9,0,annual x3,336.0,0.002839896981911452
IC37,polar_N,boxcar,3024,12,0,annual x4,252.0,0.006777512516943139
IC37,polar_N,boxcar,3024,15,0,annual x5,201.6,0.0019395791912658123
IC37,polar_N,boxcar,3024,18,0,annual x6,168.0,0.00038820067805726827
IC37,polar_N,boxcar,3024,126,-1,diurnal,24.0,4.886445361635367e-05
IC37,polar_N,boxcar,3024,252,-2,diurnal x2,12.0,4.350272587144338e-08
IC37,polar_N,boxcar,3024,378,-3,diurnal x3,8.0,3.07463395330601e-09
IC37,polar_N,boxcar,3024,504,-4,diurnal x4,6.0,1.954583205853589e-10
IC37,polar_N,hann,3024,-504,4,diurnal x4,6.0,4.428824391636076e-12
IC37,polar_N,hann,3024,-378,3,diurnal x3,8.0,8.859991721812941e-12
IC37,polar_N,hann,3024,-252,2,diurnal x2,12.0,7.933388640134257e-11
IC37,polar_N,hann,3024,-126,1,diurnal,24.0,6.917400568330922e-05
IC37,polar_N,hann,3024,-18,0,annual x6,168.0,0.00017855908191032608
IC37,polar_N,hann,3024,-15,0,annual x5,201.6,0.0010347532757758076
IC37,polar_N,hann,3024,-12,0,annual x4,252.0,0.0068987695955621976
IC37,polar_N,hann,3024,-9,0,annual x3,336.0,0.005219440472710548
IC37,polar_N,hann,3024,-6,0,annual x2,504.0,0.00034314364112784435
IC37,polar_N,hann,3024,-3,0,annual,1008.0,0.0040283565259899975
IC37,polar_N,hann,3024,3,0,annual,1008.0,0.00402835652599
IC37,polar_N,hann,3024,6,0,annual x2,504.0,0.0003431436411278444
IC37,polar_N,hann,3024,9,0,annual x3,336.0,0.0052194404727105475
IC37,polar_N,hann,3024,12,0,annual x4,252.0,0.006898769595562198
IC37,polar_N,hann,3024,15,0,annual x5,201.6,0.0010347532757758078
IC37,polar_N,hann,3024,18,0,annual x6,168.0,0.00017855908191032605
IC37,polar_N,hann,3024,126,-1,diurnal,24.0,6.917400568330924e-05
IC37,polar_N,hann,3024,252,-2,diurnal x2,12.0,7.933388640134093e-11
IC37,polar_N,hann,3024,378,-3,diurnal x3,8.0,8.85999172181301e-12
IC37,polar_N,hann,3024,504,-4,diurnal x4,6.0,4.428824391635783e-12
IC37,polar_S,boxcar,3024,-504,4,diurnal x4,6.0,1.5064105900961888e-09
IC37,polar_S,boxcar,3024,-378,3,diurnal x3,8.0,1.209931713741385e-08
IC37,polar_S,boxcar,3024,-252,2,diurnal x2,12.0,1.6290544351569124e-07
IC37,polar_S,boxcar,3024,-126,1,diurnal,24.0,0.0006162277777137766
IC37,polar_S,boxcar,3024,-18,0,annual x6,168.0,0.00040507205748740093
IC37,polar_S,boxcar,3024,-15,0,annual x5,201.6,0.0005732209944667911
IC37,polar_S,boxcar,3024,-12,0,annual x4,252.0,0.0010153936299275102
IC37,polar_S,boxcar,3024,-9,0,annual x3,336.0,0.00024816255869791753
IC37,polar_S,boxcar,3024,-6,0,annual x2,504.0,0.010122213998375585
IC37,polar_S,boxcar,3024,-3,0,annual,1008.0,0.04283895444366941
IC37,polar_S,boxcar,3024,3,0,annual,1008.0,0.04283895444366942
IC37,polar_S,boxcar,3024,6,0,annual x2,504.0,0.01012221399837559
IC37,polar_S,boxcar,3024,9,0,annual x3,336.0,0.0002481625586979174
IC37,polar_S,boxcar,3024,12,0,annual x4,252.0,0.0010153936299275102
IC37,polar_S,boxcar,3024,15,0,annual x5,201.6,0.0005732209944667917
IC37,polar_S,boxcar,3024,18,0,annual x6,168.0,0.0004050720574874008
IC37,polar_S,boxcar,3024,126,-1,diurnal,24.0,0.0006162277777137766
IC37,polar_S,boxcar,3024,252,-2,diurnal x2,12.0,1.629054435156906e-07
IC37,polar_S,boxcar,3024,378,-3,diurnal x3,8.0,1.209931713741372e-08
IC37,polar_S,boxcar,3024,504,-4,diurnal x4,6.0,1.5064105900961764e-09
IC37,polar_S,hann,3024,-504,4,diurnal x4,6.0,1.8017957381658375e-10
IC37,polar_S,hann,3024,-378,3,diurnal x3,8.0,7.964437872415188e-11
IC37,polar_S,hann,3024,-252,2,diurnal x2,12.0,1.6355161462414648e-10
IC37,polar_S,hann,3024,-126,1,diurnal,24.0,0.000537340888091085
IC37,polar_S,hann,3024,-18,0,annual x6,168.0,0.00020936914765682608
IC37,polar_S,hann,3024,-15,0,annual x5,201.6,0.0002703836920429957
IC37,polar_S,hann,3024,-12,0,annual x4,252.0,0.00029366320122364874
IC37,polar_S,hann,3024,-9,0,annual x3,336.0,0.0023007388354387014
IC37,polar_S,hann,3024,-6,0,annual x2,504.0,0.002236614102731887
IC37,polar_S,hann,3024,-3,0,annual,1008.0,0.006912451119351364
IC37,polar_S,hann,3024,3,0,annual,1008.0,0.006912451119351364
IC37,polar_S,hann,3024,6,0,annual x2,504.0,0.0022366141027318873
IC37,polar_S,hann,3024,9,0,annual x3,336.0,0.0023007388354387014
IC37,polar_S,hann,3024,12,0,annual x4,252.0,0.0002936632012236489
IC37,polar_S,hann,3024,15,0,annual x5,201.6,0.0002703836920429957
IC37,polar_S,hann,3024,18,0,annual x6,168.0,0.00020936914765682616
IC37,polar_S,hann,3024,126,-1,diurnal,24.0,0.0005373408880910851
IC37,polar_S,hann,3024,252,-2,diurnal x2,12.0,1.6355161462416245e-10
IC37,polar_S,hann,3024,378,-3,diurnal x3,8.0,7.964437872415411e-11
IC37,polar_S,hann,3024,504,-4,diurnal x4,6.0,1.8017957381658355e-10
IC37,global,boxcar,3024,-504,4,diurnal x4,6.0,1.5585302764968268e-09
IC37,global,boxcar,3024,-378,3,diurnal x3,8.0,1.3976435897756645e-08
IC37,global,boxcar,3024,-252,2,diurnal x2,12.0,5.202947152630692e-08
IC37,global,boxcar,3024,-126,1,diurnal,24.0,0.0015386907487653764
IC37,global,boxcar,3024,-18,0,annual x6,168.0,0.0004081571588610928
IC37,global,boxcar,3024,-15,0,annual x5,201.6,0.0012864875796376684
IC37,global,boxcar,3024,-12,0,annual x4,252.0,0.0031385992563055633
IC37,global,boxcar,3024,-9,0,annual x3,336.0,0.0018477415667013345
IC37,global,boxcar,3024,-6,0,annual x2,504.0,0.007970769401988945
IC37,global,boxcar,3024,-3,0,annual,1008.0,0.012526620549889098
IC37,global,boxcar,3024,3,0,annual,1008.0,0.012526620549889098
IC37,global,boxcar,3024,6,0,annual x2,504.0,0.007970769401988946
IC37,global,boxcar,3024,9,0,annual x3,336.0,0.0018477415667013345
IC37,global,boxcar,3024,12,0,annual x4,252.0,0.0031385992563055637
IC37,global,boxcar,3024,15,0,annual x5,201.6,0.0012864875796376692
IC37,global,boxcar,3024,18,0,annual x6,168.0,0.000408157158861093
IC37,global,boxcar,3024,126,-1,diurnal,24.0,0.0015386907487653764
IC37,global,boxcar,3024,252,-2,diurnal x2,12.0,5.202947152630692e-08
IC37,global,boxcar,3024,378,-3,diurnal x3,8.0,1.397643589775658e-08
IC37,global,boxcar,3024,504,-4,diurnal x4,6.0,1.5585302764968206e-09
IC37,global,hann,3024,-504,4,diurnal x4,6.0,7.797892763677646e-11
IC37,global,hann,3024,-378,3,diurnal x3,8.0,4.252496379851894e-11
IC37,global,hann,3024,-252,2,diurnal x2,12.0,6.380146587504458e-10
IC37,global,hann,3024,-126,1,diurnal,24.0,0.001504599724089774
IC37,global,hann,3024,-18,0,annual x6,168.0,8.690602197295831e-05
IC37,global,hann,3024,-15,0,annual x5,201.6,0.00044528080954548104
IC37,global,hann,3024,-12,0,annual x4,252.0,0.00194568815095917
IC37,global,hann,3024,-9,0,annual x3,336.0,0.0016262007652104245
IC37,global,hann,3024,-6,0,annual x2,504.0,0.00036180640060503845
IC37,global,hann,3024,-3,0,annual,1008.0,0.002045814654173195
IC37,global,hann,3024,3,0,annual,1008.0,0.0020458146541731965
IC37,global,hann,3024,6,0,annual x2,504.0,0.00036180640060503856
IC37,global,hann,3024,9,0,annual x3,336.0,0.001626200765210424
IC37,global,hann,3024,12,0,annual x4,252.0,0.0019456881509591702
IC37,global,hann,3024,15,0,annual x5,201.6,0.00044528080954548115
IC37,global,hann,3024,18,0,annual x6,168.0,8.690602197295831e-05
IC37,global,hann,3024,126,-1,diurnal,24.0,0.0015045997240897742
IC37,global,hann,3024,252,-2,diurnal x2,12.0,6.380146587504567e-10
IC37,global,hann,3024,378,-3,diurnal x3,8.0,4.252496379852009e-11
IC37,global,hann,3024,504,-4,diurnal x4,6.0,7.797892763677772e-11
IC38,tropics,boxcar,3024,-504,4,diurnal x4,6.0,6.669084161935691e-10
IC38,tropics,boxcar,3024,-378,3,diurnal x3,8.0,3.839398510667663e-09
IC38,tropics,boxcar,3024,-252,2,diurnal x2,12.0,1.675558108828317e-08
IC38,tropics,boxcar,3024,-126,1,diurnal,24.0,0.007966777833266521
IC38,tropics,boxcar,3024,-18,0,annual x6,168.0,0.0009229976037371095
IC38,tropics,boxcar,3024,-15,0,annual x5,201.6,0.0018704771721328756
IC38,tropics,boxcar,3024,-12,0,annual x4,252.0,0.0015663486490689695
IC38,tropics,boxcar,3024,-9,0,annual x3,336.0,0.002820265286606071
IC38,tropics,boxcar,3024,-6,0,annual x2,504.0,0.007480773974930827
IC38,tropics,boxcar,3024,-3,0,annual,1008.0,0.03127323354015299
IC38,tropics,boxcar,3024,3,0,annual,1008.0,0.031273233540152975
IC38,tropics,boxcar,3024,6,0,annual x2,504.0,0.007480773974930828
IC38,tropics,boxcar,3024,9,0,annual x3,336.0,0.002820265286606071
IC38,tropics,boxcar,3024,12,0,annual x4,252.0,0.0015663486490689698
IC38,tropics,boxcar,3024,15,0,annual x5,201.6,0.0018704771721328765
IC38,tropics,boxcar,3024,18,0,annual x6,168.0,0.0009229976037371097
IC38,tropics,boxcar,3024,126,-1,diurnal,24.0,0.007966777833266525
IC38,tropics,boxcar,3024,252,-2,diurnal x2,12.0,1.675558108828317e-08
IC38,tropics,boxcar,3024,378,-3,diurnal x3,8.0,3.8393985106677126e-09
IC38,tropics,boxcar,3024,504,-4,diurnal x4,6.0,6.669084161935705e-10
IC38,tropics,hann,3024,-504,4,diurnal x4,6.0,1.2184334348315249e-10
IC38,tropics,hann,3024,-378,3,diurnal x3,8.0,2.6590536235980725e-09
IC38,tropics,hann,3024,-252,2,diurnal x2,12.0,1.0614548447502747e-09
IC38,tropics,hann,3024,-126,1,diurnal,24.0,0.011220601681902254
IC38,tropics,hann,3024,-18,0,annual x6,168.0,4.169286489420367e-05
IC38,tropics,hann,3024,-15,0,annual x5,201.6,0.0001210163953314705
IC38,tropics,hann,3024,-12,0,annual x4,252.0,8.321111511654264e-05
IC38,tropics,hann,3024,-9,0,annual x3,336.0,7.024862376450531e-05
IC38,tropics,hann,3024,-6,0,annual x2,504.0,0.0001302944597951943
IC38,tropics,hann,3024,-3,0,annual,1008.0,0.00046697164706851194
IC38,tropics,hann,3024,3,0,annual,1008.0,0.0004669716470685125
IC38,tropics,hann,3024,6,0,annual x2,504.0,0.00013029445979519436
IC38,tropics,hann,3024,9,0,annual x3,336.0,7.024862376450535e-05
IC38,tropics,hann,3024,12,0,annual x4,252.0,8.321111511654265e-05
IC38,tropics,hann,3024,15,0,annual x5,201.6,0.00012101639533147062
IC38,tropics,hann,3024,18,0,annual x6,168.0,4.1692864894203673e-05
IC38,tropics,hann,3024,126,-1,diurnal,24.0,0.011220601681902255
IC38,tropics,hann,3024,252,-2,diurnal x2,12.0,1.0614548447502006e-09
IC38,tropics,hann,3024,378,-3,diurnal x3,8.0,2.659053623598035e-09
IC38,tropics,hann,3024,504,-4,diurnal x4,6.0,1.2184334348315042e-10
IC38,midlat_N,boxcar,3024,-504,4,diurnal x4,6.0,6.547905595671276e-09
IC38,midlat_N,boxcar,3024,-378,3,diurnal x3,8.0,3.0954556706218214e-09
IC38,midlat_N,boxcar,3024,-252,2,diurnal x2,12.0,4.5344204767765153e-08
IC38,midlat_N,boxcar,3024,-126,1,diurnal,24.0,0.00030263902714468076
IC38,midlat_N,boxcar,3024,-18,0,annual x6,168.0,0.0006228274949588478
IC38,midlat_N,boxcar,3024,-15,0,annual x5,201.6,0.001349177800407137
IC38,midlat_N,boxcar,3024,-12,0,annual x4,252.0,0.0012329910338605486
IC38,midlat_N,boxcar,3024,-9,0,annual x3,336.0,0.0013522876059524924
IC38,midlat_N,boxcar,3024,-6,0,annual x2,504.0,0.004146241882056874
IC38,midlat_N,boxcar,3024,-3,0,annual,1008.0,0.023717219280787676
IC38,midlat_N,boxcar,3024,3,0,annual,1008.0,0.02371721928078768
IC38,midlat_N,boxcar,3024,6,0,annual x2,504.0,0.004146241882056874
IC38,midlat_N,boxcar,3024,9,0,annual x3,336.0,0.0013522876059524924
IC38,midlat_N,boxcar,3024,12,0,annual x4,252.0,0.0012329910338605486
IC38,midlat_N,boxcar,3024,15,0,annual x5,201.6,0.0013491778004071384
IC38,midlat_N,boxcar,3024,18,0,annual x6,168.0,0.0006228274949588478
IC38,midlat_N,boxcar,3024,126,-1,diurnal,24.0,0.00030263902714468087
IC38,midlat_N,boxcar,3024,252,-2,diurnal x2,12.0,4.534420476776504e-08
IC38,midlat_N,boxcar,3024,378,-3,diurnal x3,8.0,3.0954556706218768e-09
IC38,midlat_N,boxcar,3024,504,-4,diurnal x4,6.0,6.547905595671268e-09
IC38,midlat_N,hann,3024,-504,4,diurnal x4,6.0,7.80567435928349e-11
IC38,midlat_N,hann,3024,-378,3,diurnal x3,8.0,1.9692151624081934e-10
IC38,midlat_N,hann,3024,-252,2,diurnal x2,12.0,2.330892107388141e-10
IC38,midlat_N,hann,3024,-126,1,diurnal,24.0,0.0003899254654218975
IC38,midlat_N,hann,3024,-18,0,annual x6,168.0,2.95142238086967e-05
IC38,midlat_N,hann,3024,-15,0,annual x5,201.6,0.0001092045078251838
IC38,midlat_N,hann,3024,-12,0,annual x4,252.0,3.572504318409684e-05
IC38,midlat_N,hann,3024,-9,0,annual x3,336.0,0.0003885513481902897
IC38,midlat_N,hann,3024,-6,0,annual x2,504.0,0.0003676718430466599
IC38,midlat_N,hann,3024,-3,0,annual,1008.0,0.0007393871446201415
IC38,midlat_N,hann,3024,3,0,annual,1008.0,0.0007393871446201419
IC38,midlat_N,hann,3024,6,0,annual x2,504.0,0.00036767184304666
IC38,midlat_N,hann,3024,9,0,annual x3,336.0,0.0003885513481902898
IC38,midlat_N,hann,3024,12,0,annual x4,252.0,3.5725043184096836e-05
IC38,midlat_N,hann,3024,15,0,annual x5,201.6,0.00010920450782518387
IC38,midlat_N,hann,3024,18,0,annual x6,168.0,2.951422380869672e-05
IC38,midlat_N,hann,3024,126,-1,diurnal,24.0,0.0003899254654218976
IC38,midlat_N,hann,3024,252,-2,diurnal x2,12.0,2.330892107388131e-10
IC38,midlat_N,hann,3024,378,-3,diurnal x3,8.0,1.9692151624081805e-10
IC38,midlat_N,hann,3024,504,-4,diurnal x4,6.0,7.80567435928329e-11
IC38,midlat_S,boxcar,3024,-504,4,diurnal x4,6.0,2.3529731142200836e-09
IC38,midlat_S,boxcar,3024,-378,3,diurnal x3,8.0,1.3354194624578192e-08
IC38,midlat_S,boxcar,3024,-252,2,diurnal x2,12.0,9.789737310097526e-08
IC38,midlat_S,boxcar,3024,-126,1,diurnal,24.0,0.0009382588986309008
IC38,midlat_S,boxcar,3024,-18,0,annual x6,168.0,6.654863151654153e-05
IC38,midlat_S,boxcar,3024,-15,0,annual x5,201.6,0.0004911704812200765
IC38,midlat_S,boxcar,3024,-12,0,annual x4,252.0,0.00016907359746808464
IC38,midlat_S,boxcar,3024,-9,0,annual x3,336.0,0.00017132761740530685
IC38,midlat_S,boxcar,3024,-6,0,annual x2,504.0,0.0005819626271346243
IC38,midlat_S,boxcar,3024,-3,0,annual,1008.0,0.0012817088099907952
IC38,midlat_S,boxcar,3024,3,0,annual,1008.0,0.0012817088099907952
IC38,midlat_S,boxcar,3024,6,0,annual x2,504.0,0.0005819626271346244
IC38,midlat_S,boxcar,3024,9,0,annual x3,336.0,0.0001713276174053069
IC38,midlat_S,boxcar,3024,12,0,annual x4,252.0,0.00016907359746808466
IC38,midlat_S,boxcar,3024,15,0,annual x5,201.6,0.0004911704812200768
IC38,midlat_S,boxcar,3024,18,0,annual x6,168.0,6.654863151654153e-05
IC38,midlat_S,boxcar,3024,126,-1,diurnal,24.0,0.0009382588986309009
IC38,midlat_S,boxcar,3024,252,-2,diurnal x2,12.0,9.789737310097512e-08
IC38,midlat_S,boxcar,3024,378,-3,diurnal x3,8.0,1.3354194624578228e-08
IC38,midlat_S,boxcar,3024,504,-4,diurnal x4,6.0,2.3529731142200856e-09
IC38,midlat_S,hann,3024,-504,4,diurnal x4,6.0,2.7800234326422876e-11
IC38,midlat_S,hann,3024,-378,3,diurnal x3,8.0,4.76442468305267e-10
IC38,midlat_S,hann,3024,-252,2,diurnal x2,12.0,4.708382619095392e-10
IC38,midlat_S,hann,3024,-126,1,diurnal,24.0,0.0005884850882794874
IC38,midlat_S,hann,3024,-18,0,annual x6,168.0,1.5386849395135605e-05
IC38,midlat_S,hann,3024,-15,0,annual x5,201.6,0.00034061319909661146
IC38,midlat_S,hann,3024,-12,0,annual x4,252.0,8.133774816568993e-05
IC38,midlat_S,hann,3024,-9,0,annual x3,336.0,7.101767905778814e-05
IC38,midlat_S,hann,3024,-6,0,annual x2,504.0,0.00023274603209364785
IC38,midlat_S,hann,3024,-3,0,annual,1008.0,0.0001266765323242275
IC38,midlat_S,hann,3024,3,0,annual,1008.0,0.00012667653232422755
IC38,midlat_S,hann,3024,6,0,annual x2,504.0,0.00023274603209364793
IC38,midlat_S,hann,3024,9,0,annual x3,336.0,7.101767905778815e-05
IC38,midlat_S,hann,3024,12,0,annual x4,252.0,8.133774816568993e-05
IC38,midlat_S,hann,3024,15,0,annual x5,201.6,0.00034061319909661157
IC38,midlat_S,hann,3024,18,0,annual x6,168.0,1.5386849395135612e-05
IC38,midlat_S,hann,3024,126,-1,diurnal,24.0,0.0005884850882794875
IC38,midlat_S,hann,3024,252,-2,diurnal x2,12.0,4.708382619095054e-10
IC38,midlat_S,hann,3024,378,-3,diurnal x3,8.0,4.764424683052745e-10
IC38,midlat_S,hann,3024,504,-4,diurnal x4,6.0,2.7800234326423515e-11
IC38,polar_N,boxcar,3024,-504,4,diurnal x4,6.0,1.21310356984973e-10
IC38,polar_N,boxcar,3024,-378,3,diurnal x3,8.0,3.064692535148629e-10
IC38,polar_N,boxcar,3024,-252,2,diurnal x2,12.0,2.6129390959595216e-08
IC38,polar_N,boxcar,3024,-126,1,diurnal,24.0,1.9706324073918902e-05
IC38,polar_N,boxcar,3024,-18,0,annual x6,168.0,0.0002492387975051126
IC38,polar_N,boxcar,3024,-15,0,annual x5,201.6,0.0020667606522989123
IC38,polar_N,boxcar,3024,-12,0,annual x4,252.0,0.0021889899001424767
IC38,polar_N,boxcar,3024,-9,0,annual x3,336.0,0.004680621401250788
IC38,polar_N,boxcar,3024,-6,0,annual x2,504.0,0.007667016452950354
IC38,polar_N,boxcar,3024,-3,0,annual,1008.0,0.008702847850205508
IC38,polar_N,boxcar,3024,3,0,annual,1008.0,0.00870284785020551
IC38,polar_N,boxcar,3024,6,0,annual x2,504.0,0.0076670164529503565
IC38,polar_N,boxcar,3024,9,0,annual x3,336.0,0.004680621401250791
IC38,polar_N,boxcar,3024,12,0,annual x4,252.0,0.0021889899001424776
IC38,polar_N,boxcar,3024,15,0,annual x5,201.6,0.002066760652298913
IC38,polar_N,boxcar,3024,18,0,annual x6,168.0,0.0002492387975051127
IC38,polar_N,boxcar,3024,126,-1,diurnal,24.0,1.970632407391891e-05
IC38,polar_N,boxcar,3024,252,-2,diurnal x2,12.0,2.6129390959595183e-08
IC38,polar_N,boxcar,3024,378,-3,diurnal x3,8.0,3.0646925351485596e-10
IC38,polar_N,boxcar,3024,504,-4,diurnal x4,6.0,1.2131035698497236e-10
IC38,polar_N,hann,3024,-504,4,diurnal x4,6.0,5.936151024186349e-12
IC38,polar_N,hann,3024,-378,3,diurnal x3,8.0,9.142765705512045e-12
IC38,polar_N,hann,3024,-252,2,diurnal x2,12.0,1.958670612211303e-11
IC38,polar_N,hann,3024,-126,1,diurnal,24.0,2.6449253264302373e-05
IC38,polar_N,hann,3024,-18,0,annual x6,168.0,8.706760045315589e-05
IC38,polar_N,hann,3024,-15,0,annual x5,201.6,0.0022370215789727604
IC38,polar_N,hann,3024,-12,0,annual x4,252.0,0.00037538320914733933
IC38,polar_N,hann,3024,-9,0,annual x3,336.0,0.0029894240264559608
IC38,polar_N,hann,3024,-6,0,annual x2,504.0,0.00615529735840196
IC38,polar_N,hann,3024,-3,0,annual,1008.0,0.010424065549353578
IC38,polar_N,hann,3024,3,0,annual,1008.0,0.010424065549353581
IC38,polar_N,hann,3024,6,0,annual x2,504.0,0.006155297358401962
IC38,polar_N,hann,3024,9,0,annual x3,336.0,0.0029894240264559608
IC38,polar_N,hann,3024,12,0,annual x4,252.0,0.0003753832091473394
IC38,polar_N,hann,3024,15,0,annual x5,201.6,0.0022370215789727617
IC38,polar_N,hann,3024,18,0,annual x6,168.0,8.706760045315582e-05
IC38,polar_N,hann,3024,126,-1,diurnal,24.0,2.6449253264302383e-05
IC38,polar_N,hann,3024,252,-2,diurnal x2,12.0,1.9586706122113907e-11
IC38,polar_N,hann,3024,378,-3,diurnal x3,8.0,9.142765705512053e-12
IC38,polar_N,hann,3024,504,-4,diurnal x4,6.0,5.936151024186269e-12
IC38,polar_S,boxcar,3024,-504,4,diurnal x4,6.0,7.427429199569675e-10
IC38,polar_S,boxcar,3024,-378,3,diurnal x3,8.0,8.232070858943893e-09
IC38,polar_S,boxcar,3024,-252,2,diurnal x2,12.0,1.7814745324374823e-07
IC38,polar_S,boxcar,3024,-126,1,diurnal,24.0,0.0003459494801298697
IC38,polar_S,boxcar,3024,-18,0,annual x6,168.0,0.000667858791253447
IC38,polar_S,boxcar,3024,-15,0,annual x5,201.6,0.0032832154691194953
IC38,polar_S,boxcar,3024,-12,0,annual x4,252.0,0.0018554585159628362
IC38,polar_S,boxcar,3024,-9,0,annual x3,336.0,0.002119603431610157
IC38,polar_S,boxcar,3024,-6,0,annual x2,504.0,0.012227906614260903
IC38,polar_S,boxcar,3024,-3,0,annual,1008.0,0.014235126027689985
IC38,polar_S,boxcar,3024,3,0,annual,1008.0,0.014235126027689985
IC38,polar_S,boxcar,3024,6,0,annual x2,504.0,0.012227906614260906
IC38,polar_S,boxcar,3024,9,0,annual x3,336.0,0.002119603431610157
IC38,polar_S,boxcar,3024,12,0,annual x4,252.0,0.0018554585159628362
IC38,polar_S,boxcar,3024,15,0,annual x5,201.6,0.003283215469119496
IC38,polar_S,boxcar,3024,18,0,annual x6,168.0,0.0006678587912534469
IC38,polar_S,boxcar,3024,126,-1,diurnal,24.0,0.0003459494801298698
IC38,polar_S,boxcar,3024,252,-2,diurnal x2,12.0,1.7814745324374815e-07
IC38,polar_S,boxcar,3024,378,-3,diurnal x3,8.0,8.232070858943957e-09
IC38,polar_S,boxcar,3024,504,-4,diurnal x4,6.0,7.427429199569746e-10
IC38,polar_S,hann,3024,-504,4,diurnal x4,6.0,6.818974540431163e-11
IC38,polar_S,hann,3024,-378,3,diurnal x3,8.0,1.0477782806011251e-10
IC38,polar_S,hann,3024,-252,2,diurnal x2,12.0,3.309698477176262e-10
IC38,polar_S,hann,3024,-126,1,diurnal,24.0,0.00042631077400811905
IC38,polar_S,hann,3024,-18,0,annual x6,168.0,0.00019095862392234648
IC38,polar_S,hann,3024,-15,0,annual x5,201.6,0.004327038111502273
IC38,polar_S,hann,3024,-12,0,annual x4,252.0,0.0008899366728433597
IC38,polar_S,hann,3024,-9,0,annual x3,336.0,0.000577552839289756
IC38,polar_S,hann,3024,-6,0,annual x2,504.0,0.0008049030403331908
IC38,polar_S,hann,3024,-3,0,annual,1008.0,0.0041614565181797595
IC38,polar_S,hann,3024,3,0,annual,1008.0,0.004161456518179763
IC38,polar_S,hann,3024,6,0,annual x2,504.0,0.0008049030403331908
IC38,polar_S,hann,3024,9,0,annual x3,336.0,0.000577552839289756
IC38,polar_S,hann,3024,12,0,annual x4,252.0,0.0008899366728433599
IC38,polar_S,hann,3024,15,0,annual x5,201.6,0.0043270381115022745
IC38,polar_S,hann,3024,18,0,annual x6,168.0,0.0001909586239223466
IC38,polar_S,hann,3024,126,-1,diurnal,24.0,0.0004263107740081192
IC38,polar_S,hann,3024,252,-2,diurnal x2,12.0,3.3096984771760474e-10
IC38,polar_S,hann,3024,378,-3,diurnal x3,8.0,1.0477782806011905e-10
IC38,polar_S,hann,3024,504,-4,diurnal x4,6.0,6.818974540431224e-11
IC38,global,boxcar,3024,-504,4,diurnal x4,6.0,3.0956671800219457e-09
IC38,global,boxcar,3024,-378,3,diurnal x3,8.0,3.6147800824351355e-09
IC38,global,boxcar,3024,-252,2,diurnal x2,12.0,4.763242439788965e-08
IC38,global,boxcar,3024,-126,1,diurnal,24.0,0.0006949099070736484
IC38,global,boxcar,3024,-18,0,annual x6,168.0,0.0004265677986693488
IC38,global,boxcar,3024,-15,0,annual x5,201.6,0.0015894194525196395
IC38,global,boxcar,3024,-12,0,annual x4,252.0,0.0014852535295125189
IC38,global,boxcar,3024,-9,0,annual x3,336.0,0.0025410320209482548
IC38,global,boxcar,3024,-6,0,annual x2,504.0,0.005410289015470169
IC38,global,boxcar,3024,-3,0,annual,1008.0,0.015236247615283681
IC38,global,boxcar,3024,3,0,annual,1008.0,0.015236247615283681
